"","Treatment","avg_PO4","sd_PO4","avg_NH4","sd_NH4","avg_NO3","sd_NO3"
"1","control",1.55533333333333,2.2430141179523,6.38471566666667,10.0642136427612,30.3666666666667,8.54887906882144
"2","SH only",4.21333333333333,0.560832714214616,19.2666666666667,6.2978832422754,40.5333333333333,2.70616579930597
"3","low N:P, NH4",28.02,38.7873007568199,302.133333333333,425.980308621576,79.4333333333333,68.9289731051706
"4","SH + low N:P, NH4",29.91,35.2395700881835,243.066666666667,257.938002886999,150.633333333333,120.303796005502
"5","low N:P, urea",86.7333333333333,18.7350829550694,30.0333333333333,8.71569465581105,89.1333333333333,26.7330008291874
"6","SH + low N:P, urea",27.86,41.7771624215911,21.5333333333333,10.290934521866,61.7333333333333,30.6294520573473
"7","high N:P, NH4",10.7366666666667,8.67165689665668,2106.66666666667,337.095436535906,160.333333333333,20.2319878739914
"8","SH + high N:P, NH4",38.23,59.5618728718297,2100,841.605608346332,188.333333333333,48.1905938263198
"9","high N:P, urea",42.2266666666667,32.5098159535445,75.6333333333333,54.5089289321789,88.1333333333333,37.0924969951247
"10","SH + high N:P, urea",33.8433333333333,53.421881596714,114.6,83.4354840580433,76.9666666666667,62.3884871858048
